#Wavelength[nm]	AOI 25 deg
3000	0.17788
2999	0.16775
2998	0.15814
2997	0.14903
2996	0.14042
2995	0.13226
2994	0.12455
2993	0.11725
2992	0.11033
2991	0.10377
2990	0.09755
2989	0.09166
2988	0.08607
2987	0.08074
2986	0.07567
2985	0.07085
2984	0.06626
2983	0.0619
2982	0.05775
2981	0.05381
2980	0.05006
2979	0.04652
2978	0.04316
2977	0.03999
2976	0.037
2975	0.03419
2974	0.03155
2973	0.02908
2972	0.02677
2971	0.02462
2970	0.02261
2969	0.02076
2968	0.01904
2967	0.01745
2966	0.01599
2965	0.01465
2964	0.01342
2963	0.01229
2962	0.01126
2961	0.01032
2960	0.00947
2959	0.0087
2958	0.008
2957	0.00736
2956	0.00678
2955	0.00626
2954	0.00579
2953	0.00537
2952	0.00498
2951	0.00463
2950	0.00432
2949	0.00403
2948	0.00377
2947	0.00354
2946	0.00333
2945	0.00314
2944	0.00296
2943	0.00281
2942	0.00266
2941	0.00253
2940	0.00242
2939	0.00231
2938	0.00221
2937	0.00212
2936	0.00204
2935	0.00197
2934	0.00191
2933	0.00185
2932	0.00179
2931	0.00174
2930	0.0017
2929	0.00166
2928	0.00162
2927	0.00158
2926	0.00155
2925	0.00153
2924	0.0015
2923	0.00148
2922	0.00146
2921	0.00144
2920	0.00142
2919	0.0014
2918	0.00139
2917	0.00137
2916	0.00136
2915	0.00135
2914	0.00134
2913	0.00133
2912	0.00132
2911	0.00131
2910	0.0013
2909	0.00129
2908	0.00129
2907	0.00128
2906	0.00127
2905	0.00127
2904	0.00126
2903	0.00126
2902	0.00126
2901	0.00125
2900	0.00125
2899	0.00125
2898	0.00125
2897	0.00124
2896	0.00124
2895	0.00124
2894	0.00124
2893	0.00123
2892	0.00123
2891	0.00123
2890	0.00122
2889	0.00122
2888	0.00122
2887	0.00121
2886	0.00121
2885	0.0012
2884	0.0012
2883	0.00119
2882	0.00119
2881	0.00119
2880	0.00118
2879	0.00118
2878	0.00118
2877	0.00118
2876	0.00118
2875	0.00118
2874	0.00118
2873	0.00118
2872	0.00118
2871	0.00118
2870	0.00118
2869	0.00118
2868	0.00118
