#Wavelength[nm]	AOI 10 deg
2603	0.00022
2602	0.00025
2601	0.00029
2600	0.00033
2599	0.00038
2598	0.00044
2597	0.0005
2596	0.00057
2595	0.00064
2594	0.00072
2593	0.0008
2592	0.00089
2591	0.00097
2590	0.00106
2589	0.00115
2588	0.00123
2587	0.00132
2586	0.0014
2585	0.00148
2584	0.00155
2583	0.00163
2582	0.00169
2581	0.00175
2580	0.00181
2579	0.00186
2578	0.00191
2577	0.00195
2576	0.00198
2575	0.00201
2574	0.00204
2573	0.00206
2572	0.00208
2571	0.00209
2570	0.0021
2569	0.0021
2568	0.0021
2567	0.00209
2566	0.00207
2565	0.00206
2564	0.00203
2563	0.00201
2562	0.00197
2561	0.00194
2560	0.0019
2559	0.00185
2558	0.0018
2557	0.00175
2556	0.0017
2555	0.00164
2554	0.00158
2553	0.00152
2552	0.00145
2551	0.00139
2550	0.00133
2549	0.00128
2548	0.00123
2547	0.00118
2546	0.00114
2545	0.0011
2544	0.00107
2543	0.00104
2542	0.00102
2541	0.00101
2540	0.001
2539	0.00099
2538	0.001
2537	0.00101
2536	0.00102
2535	0.00104
2534	0.00106
2533	0.00109
2532	0.00112
2531	0.00114
2530	0.00117
2529	0.00119
2528	0.00121
2527	0.00122
2526	0.00123
2525	0.00123
2524	0.00123
2523	0.00123
2522	0.00122
2521	0.00121
2520	0.00119
2519	0.00117
2518	0.00115
2517	0.00112
2516	0.0011
2515	0.00107
2514	0.00104
2513	0.00101
2512	0.00097
2511	0.00094
2510	0.0009
2509	0.00086
2508	0.00082
2507	0.00078
2506	0.00074
2505	0.0007
2504	0.00066
2503	0.00062
2502	0.00058
2501	0.00054
2500	0.00051
2499	0.00047
2498	0.00044
2497	0.00041
2496	0.00038
2495	0.00036
2494	0.00034
2493	0.00032
2492	0.0003
2491	0.00029
2490	0.00027
2489	0.00027
2488	0.00026
2487	0.00025
2486	0.00025
2485	0.00025
2484	0.00025
2483	0.00026
2482	0.00027
2481	0.00028
2480	0.00029
2479	0.00031
2478	0.00034
2477	0.00037
2476	0.0004
2475	0.00044
2474	0.00049
2473	0.00054
2472	0.00059
2471	0.00063
2470	0.00067
2469	0.0007
2468	0.00072
2467	0.00073
2466	0.00074
2465	0.00074
2464	0.00074
2463	0.00074
2462	0.00074
2461	0.00073
2460	0.00073
2459	0.00071
2458	0.00069
2457	0.00067
2456	0.00065
2455	0.00062
2454	0.0006
2453	0.00058
2452	0.00057
2451	0.00055
2450	0.00053
2449	0.00051
2448	0.00049
2447	0.00047
2446	0.00044
2445	0.00042
2444	0.0004
2443	0.00038
2442	0.00037
2441	0.00036
2440	0.00034
2439	0.00033
2438	0.00032
2437	0.0003
2436	0.00029
2435	0.00027
2434	0.00026
2433	0.00024
2432	0.00023
2431	0.00022
2430	0.00021
2429	0.0002
2428	0.00019
2427	0.00019
2426	0.00019
2425	0.00019
2424	0.00019
2423	0.00019
2422	0.0002
2421	0.0002
2420	0.0002
2419	0.00021
2418	0.00021
2417	0.00021
2416	0.00021
2415	0.00021
2414	0.00021
2413	0.00021
2412	0.00021
2411	0.00021
2410	0.00021
2409	0.00021
2408	0.0002
2407	0.0002
2406	0.00019
2405	0.00019
2404	0.00019
2403	0.00018
2402	0.00018
2401	0.00017
2400	0.00016
2399	0.00016
2398	0.00015
2397	0.00015
2396	0.00014
2395	0.00013
2394	0.00013
2393	0.00012
2392	0.00012
2391	0.00011
2390	0.00011
2389	0.00011
2388	0.0001
2387	0.0001
2386	0.00011
2385	0.00012
2384	0.00013
2383	0.00016
2382	0.00022
2381	0.00029
2380	0.00035
2379	0.0004
2378	0.00041
2377	0.00042
2376	0.00042
2375	0.00044
2374	0.00042
2373	0.00035
2372	0.00031
2371	0.00032
2370	0.00036
2369	0.00043
2368	0.00043
2367	0.00037
2366	0.0003
2365	0.00026
2364	0.00024
2363	0.00024
2362	0.00024
2361	0.00024
2360	0.00022
2359	0.00021
2358	0.00019
2357	0.00018
2356	0.00017
2355	0.00016
2354	0.00014
2353	0.00012
2352	0.0001
2351	0.00011
2350	0.0001
2349	0.0001
2348	0.00011
2347	0.0001
2346	0.0001
2345	0.0001
2344	0.00008
2343	0.00005
2342	0.00005
2341	0.00004
2340	0.00003
2339	0.00002
2338	0.00001
2337	0.00001
2336	0.00001
2335	0
2334	0
2333	0
2332	0
2331	0
2330	0
2329	0
2328	0
2327	0
2326	0
2325	0
2324	0
2323	0
2322	0
2321	0
2320	0
2319	0
2318	0
2317	0
2316	0
2315	0
2314	0
2313	0
2312	0
2311	0
2310	0
2309	0
2308	0
2307	0
2306	0
2305	0
2304	0
2303	0
2302	0
2301	0
2300	0
2299	0
2298	0
2297	0
2296	0
2295	0
2294	0
2293	0
2292	0
2291	0
2290	0
2289	0
2288	0
2287	0.00001
2286	0.00001
2285	0.00002
2284	0.00005
2283	0.00006
2282	0.00009
2281	0.00013
2280	0.00013
2279	0.0001
2278	0.00008
2277	0.00009
2276	0.00016
2275	0.00011
2274	0.00009
2273	0.00012
2272	0.00011
2271	0.0001
2270	0.0001
2269	0.0001
2268	0.00011
2267	0.00011
2266	0.00009
2265	0.00008
2264	0.00008
2263	0.00009
2262	0.00008
2261	0.0001
2260	0.00006
2259	0.00004
2258	0.00004
2257	0.00003
2256	0.00001
2255	0.00002
2254	0.00001
2253	0.00001
2252	0.00002
2251	0.00001
2250	0.00001
2249	0.00001
2248	0
2247	0
2246	0
2245	0
2244	0
2243	0
2242	0
2241	0
2240	0
2239	0
2238	0
2237	0
2236	0
2235	0
2234	0
2233	0
2232	0
2231	0
2230	0
2229	0
2228	0
2227	0
2226	0
2225	0
2224	0
2223	0
2222	0
2221	0
2220	0
2219	0
2218	0.00001
2217	0.00001
2216	0.00001
2215	0.00001
2214	0.00001
2213	0.00001
2212	0.00001
2211	0.00002
2210	0.00002
2209	0.00002
2208	0.00003
2207	0.00003
2206	0.00004
2205	0.00005
2204	0.00005
2203	0.00006
2202	0.00007
2201	0.00008
2200	0.00009
2199	0.0001
2198	0.0001
2197	0.00011
2196	0.00012
2195	0.00013
2194	0.00013
2193	0.00014
2192	0.00015
2191	0.00015
2190	0.00016
2189	0.00017
2188	0.00018
2187	0.00019
2186	0.0002
2185	0.00021
2184	0.00023
2183	0.00024
2182	0.00027
2181	0.00029
2180	0.00032
2179	0.00035
2178	0.00038
2177	0.00041
2176	0.00043
2175	0.00044
2174	0.00045
2173	0.00045
2172	0.00046
2171	0.00046
2170	0.00046
2169	0.00045
2168	0.00044
2167	0.00043
2166	0.00042
2165	0.00041
2164	0.0004
2163	0.00038
2162	0.00037
2161	0.00035
2160	0.00034
2159	0.00032
2158	0.0003
2157	0.00028
2156	0.00026
2155	0.00023
2154	0.00021
2153	0.00019
2152	0.00017
2151	0.00015
2150	0.00014
2149	0.00013
2148	0.00011
2147	0.0001
2146	0.00009
2145	0.00008
2144	0.00008
2143	0.00007
2142	0.00006
2141	0.00006
2140	0.00006
2139	0.00005
2138	0.00005
2137	0.00005
2136	0.00004
2135	0.00004
2134	0.00004
2133	0.00004
2132	0.00004
2131	0.00004
2130	0.00003
2129	0.00003
2128	0.00003
2127	0.00003
2126	0.00003
2125	0.00003
2124	0.00003
2123	0.00003
2122	0.00003
2121	0.00002
2120	0.00002
2119	0.00002
2118	0.00002
2117	0.00002
2116	0.00002
2115	0.00002
2114	0.00002
2113	0.00002
2112	0.00002
2111	0.00002
2110	0.00002
2109	0.00002
2108	0.00002
2107	0.00002
2106	0.00002
2105	0.00002
2104	0.00002
2103	0.00002
2102	0.00002
2101	0.00003
2100	0.00003
2099	0.00003
2098	0.00003
2097	0.00003
2096	0.00003
2095	0.00003
2094	0.00003
2093	0.00004
2092	0.00004
2091	0.00004
2090	0.00004
2089	0.00004
2088	0.00004
2087	0.00004
2086	0.00004
2085	0.00004
2084	0.00004
2083	0.00004
2082	0.00004
2081	0.00004
2080	0.00004
2079	0.00004
2078	0.00004
2077	0.00004
2076	0.00004
2075	0.00004
2074	0.00004
2073	0.00004
2072	0.00004
2071	0.00003
2070	0.00003
2069	0.00003
2068	0.00003
2067	0.00003
2066	0.00003
2065	0.00003
2064	0.00003
2063	0.00003
2062	0.00003
2061	0.00003
2060	0.00003
2059	0.00003
2058	0.00003
2057	0.00003
2056	0.00003
2055	0.00003
2054	0.00003
2053	0.00004
2052	0.00004
2051	0.00004
2050	0.00005
2049	0.00005
2048	0.00006
2047	0.00006
2046	0.00007
2045	0.00008
2044	0.0001
2043	0.00012
2042	0.00014
2041	0.00017
2040	0.00021
2039	0.00027
2038	0.00034
2037	0.00042
2036	0.00052
2035	0.00063
2034	0.00073
2033	0.00083
2032	0.00091
2031	0.00099
2030	0.00106
2029	0.00113
2028	0.00119
2027	0.00124
2026	0.00128
2025	0.00131
2024	0.00135
2023	0.00138
2022	0.00142
2021	0.00146
2020	0.0015
2019	0.00154
2018	0.00158
2017	0.00162
2016	0.00165
2015	0.00168
2014	0.00169
2013	0.00169
2012	0.00167
2011	0.00164
2010	0.0016
2009	0.00156
2008	0.00151
2007	0.00146
2006	0.0014
2005	0.00134
2004	0.00128
2003	0.00122
2002	0.00116
2001	0.00111
2000	0.00105
1999	0.00099
1998	0.00094
1997	0.00088
1996	0.00082
1995	0.00076
1994	0.0007
1993	0.00064
1992	0.00058
1991	0.00053
1990	0.00048
1989	0.00043
1988	0.00039
1987	0.00035
1986	0.00032
1985	0.00029
1984	0.00027
1983	0.00026
1982	0.00024
1981	0.00024
1980	0.00023
1979	0.00023
1978	0.00023
1977	0.00024
1976	0.00024
1975	0.00026
1974	0.00027
1973	0.00029
1972	0.00032
1971	0.00035
1970	0.0004
1969	0.00045
1968	0.00051
1967	0.00059
1966	0.00068
1965	0.00077
1964	0.00087
1963	0.00097
1962	0.00105
1961	0.00113
1960	0.00119
1959	0.00125
1958	0.0013
1957	0.00133
1956	0.00136
1955	0.00137
1954	0.00137
1953	0.00137
1952	0.00137
1951	0.00136
1950	0.00135
1949	0.00134
1948	0.00132
1947	0.00129
1946	0.00126
1945	0.00123
1944	0.0012
1943	0.00117
1942	0.00113
1941	0.0011
1940	0.00107
1939	0.00104
1938	0.00102
1937	0.001
1936	0.001
1935	0.001
1934	0.00102
1933	0.00104
1932	0.00108
1931	0.00112
1930	0.00117
1929	0.00123
1928	0.00128
1927	0.00134
1926	0.0014
1925	0.00145
1924	0.00149
1923	0.00154
1922	0.00157
1921	0.0016
1920	0.00162
1919	0.00163
1918	0.00164
1917	0.00164
1916	0.00164
1915	0.00163
1914	0.00162
1913	0.0016
1912	0.00158
1911	0.00155
1910	0.00152
1909	0.00149
1908	0.00146
1907	0.00142
1906	0.00139
1905	0.00135
1904	0.00132
1903	0.00129
1902	0.00126
1901	0.00124
1900	0.00122
1899	0.00121
1898	0.00121
1897	0.00121
1896	0.00121
1895	0.00123
1894	0.00125
1893	0.00127
1892	0.00131
1891	0.00135
1890	0.00139
1889	0.00144
1888	0.0015
1887	0.00155
1886	0.00162
1885	0.00168
1884	0.00175
1883	0.00182
1882	0.00189
1881	0.00196
1880	0.00203
1879	0.0021
1878	0.00217
1877	0.00223
1876	0.0023
1875	0.00237
1874	0.00243
1873	0.0025
1872	0.00256
1871	0.00263
1870	0.00269
1869	0.00276
1868	0.00283
1867	0.0029
1866	0.00298
1865	0.00307
1864	0.00316
1863	0.00326
1862	0.00338
1861	0.00351
1860	0.00365
1859	0.00382
1858	0.004
1857	0.00422
1856	0.00447
1855	0.00476
1854	0.00509
1853	0.00548
1852	0.00593
1851	0.00645
1850	0.00706
1849	0.00777
1848	0.00861
1847	0.0096
1846	0.01077
1845	0.01215
1844	0.01379
1843	0.01573
1842	0.01806
1841	0.02084
1840	0.02416
1839	0.02814
1838	0.03291
1837	0.03862
1836	0.04544
1835	0.05357
1834	0.06324
1833	0.07466
1832	0.08812
1831	0.10388
