#Wavelength[nm]	AOI 0 deg
2999	0.00102
2998	0.00105
2997	0.00109
2996	0.00112
2995	0.00116
2994	0.00119
2993	0.00122
2992	0.00125
2991	0.00128
2990	0.00131
2989	0.00134
2988	0.00136
2987	0.00137
2986	0.00138
2985	0.00139
2984	0.00139
2983	0.00139
2982	0.00138
2981	0.00137
2980	0.00135
2979	0.00132
2978	0.0013
2977	0.00127
2976	0.00123
2975	0.00119
2974	0.00116
2973	0.00112
2972	0.00108
2971	0.00104
2970	0.001
2969	0.00096
2968	0.00092
2967	0.00089
2966	0.00085
2965	0.00082
2964	0.00078
2963	0.00075
2962	0.00073
2961	0.0007
2960	0.00067
2959	0.00065
2958	0.00063
2957	0.00061
2956	0.00059
2955	0.00057
2954	0.00055
2953	0.00054
2952	0.00052
2951	0.00051
2950	0.0005
2949	0.00049
2948	0.00048
2947	0.00047
2946	0.00046
2945	0.00045
2944	0.00045
2943	0.00044
2942	0.00043
2941	0.00043
2940	0.00043
2939	0.00043
2938	0.00042
2937	0.00042
2936	0.00042
2935	0.00042
2934	0.00043
2933	0.00043
2932	0.00043
2931	0.00044
2930	0.00044
2929	0.00045
2928	0.00045
2927	0.00046
2926	0.00047
2925	0.00048
2924	0.0005
2923	0.00051
2922	0.00052
2921	0.00054
2920	0.00056
2919	0.00058
2918	0.0006
2917	0.00063
2916	0.00066
2915	0.00069
2914	0.00073
2913	0.00077
2912	0.00081
2911	0.00086
2910	0.00091
2909	0.00097
2908	0.00104
2907	0.00111
2906	0.00119
2905	0.00127
2904	0.00137
2903	0.00147
2902	0.00157
2901	0.00169
2900	0.0018
2899	0.00191
2898	0.00201
2897	0.00211
2896	0.00219
2895	0.00225
2894	0.00229
2893	0.00231
2892	0.0023
2891	0.00226
2890	0.0022
2889	0.00212
2888	0.00202
2887	0.00192
2886	0.00181
2885	0.00169
2884	0.00158
2883	0.00147
2882	0.00137
2881	0.00127
2880	0.00119
2879	0.00111
2878	0.00103
2877	0.00097
2876	0.00091
2875	0.00085
2874	0.0008
2873	0.00076
2872	0.00072
2871	0.00069
2870	0.00066
2869	0.00063
2868	0.00061
2867	0.00059
2866	0.00057
2865	0.00055
2864	0.00054
2863	0.00053
2862	0.00052
2861	0.00051
2860	0.00051
2859	0.0005
2858	0.0005
2857	0.0005
2856	0.0005
2855	0.00051
2854	0.00052
2853	0.00053
2852	0.00054
2851	0.00055
2850	0.00057
2849	0.00059
2848	0.00061
2847	0.00064
2846	0.00068
2845	0.00072
2844	0.00076
2843	0.00082
2842	0.00089
2841	0.00096
2840	0.00106
2839	0.00116
2838	0.00129
2837	0.00143
2836	0.00159
2835	0.00177
2834	0.00196
2833	0.00213
2832	0.00228
2831	0.00238
2830	0.00242
2829	0.0024
2828	0.00231
2827	0.00216
2826	0.00197
2825	0.00176
2824	0.00154
2823	0.00133
2822	0.00113
2821	0.00096
2820	0.00081
2819	0.00069
2818	0.00059
2817	0.0005
2816	0.00043
2815	0.00038
2814	0.00033
2813	0.00029
2812	0.00025
2811	0.00023
2810	0.0002
2809	0.00018
2808	0.00016
2807	0.00015
2806	0.00014
