#Wavelength[nm]	AOI 45 deg
3000	19.44241
2999	19.31574
2998	19.18892
2997	19.06349
2996	18.94076
2995	18.82196
2994	18.70853
2993	18.60188
2992	18.50291
2991	18.41205
2990	18.32966
2989	18.25839
2988	18.19656
2987	18.14399
2986	18.09969
2985	18.06186
2984	18.02846
2983	17.99777
2982	17.96915
2981	17.94293
2980	17.92006
2979	17.90069
2978	17.88653
2977	17.87846
2976	17.8775
2975	17.88462
2974	17.90064
2973	17.92618
2972	17.96167
2971	18.00724
2970	18.06262
2969	18.12946
2968	18.20422
2967	18.28511
2966	18.36962
2965	18.4543
2964	18.53465
2963	18.60529
2962	18.66034
2961	18.69378
2960	18.69985
2959	18.67266
2958	18.60971
2957	18.50929
2956	18.37138
2955	18.19754
2954	17.99092
2953	17.75607
2952	17.49834
2951	17.22357
2950	16.93831
2949	16.64853
2948	16.36151
2947	16.08202
2946	15.81333
2945	15.55823
2944	15.31999
2943	15.10179
2942	14.90558
2941	14.73198
2940	14.58135
2939	14.45491
2938	14.3528
2937	14.27405
2936	14.21656
2935	14.17825
2934	14.15733
2933	14.15158
2932	14.15794
2931	14.17331
2930	14.19527
2929	14.2218
2928	14.24926
2927	14.27453
2926	14.29574
2925	14.31204
2924	14.32231
2923	14.32493
2922	14.3186
2921	14.30234
2920	14.27477
2919	14.23339
2918	14.17654
2917	14.10283
2916	14.01178
2915	13.90309
2914	13.7762
2913	13.63048
2912	13.46554
2911	13.28138
2910	13.07857
2909	12.85839
2908	12.62253
2907	12.37345
2906	12.11422
2905	11.84846
2904	11.58012
2903	11.31332
2902	11.05202
2901	10.79976
2900	10.55937
2899	10.33245
2898	10.12062
2897	9.92428
2896	9.74327
2895	9.57707
2894	9.42496
2893	9.28607
2892	9.15945
2891	9.04397
2890	8.93841
2889	8.84184
2888	8.75256
2887	8.66935
2886	8.59112
2885	8.51692
2884	8.44589
2883	8.37715
2882	8.30976
2881	8.24269
2880	8.17492
2879	8.1058
2878	8.03396
2877	7.95847
2876	7.87845
2875	7.79306
2874	7.70145
2873	7.60278
2872	7.49628
2871	7.38126
2870	7.25718
2869	7.12329
2868	6.97973
2867	6.82653
2866	6.66406
2865	6.4931
2864	6.31481
2863	6.13077
2862	5.94281
2861	5.75292
2860	5.56308
2859	5.37594
2858	5.19226
2857	5.01334
2856	4.84012
2855	4.67316
2854	4.51269
2853	4.35859
2852	4.21056
2851	4.06816
2850	3.93101
2849	3.79821
2848	3.6703
2847	3.54737
2846	3.42965
2845	3.31742
2844	3.21097
2843	3.11052
2842	3.01613
2841	2.92776
2840	2.84518
2839	2.76834
2838	2.69659
2837	2.6295
2836	2.56662
2835	2.50751
2834	2.45177
2833	2.39901
2832	2.34893
2831	2.30124
2830	2.25572
2829	2.21207
2828	2.17027
2827	2.13022
2826	2.09185
2825	2.05509
2824	2.01992
2823	1.98633
2822	1.95431
2821	1.92386
2820	1.89499
2819	1.86765
2818	1.84185
2817	1.81756
2816	1.79473
2815	1.77329
2814	1.75316
2813	1.73423
2812	1.7164
2811	1.69952
2810	1.68346
2809	1.66799
2808	1.65304
2807	1.63846
2806	1.62412
2805	1.60985
2804	1.59552
2803	1.58097
2802	1.56608
2801	1.55073
2800	1.53478
2799	1.51792
2798	1.50026
2797	1.48172
2796	1.46223
2795	1.44174
2794	1.42022
2793	1.39765
2792	1.37405
2791	1.34945
2790	1.32394
2789	1.29741
2788	1.27019
